,YEAR,START_DATE,offensegroup,OFFENSE,offense-text,offensekey,START_TIME
5017,2022,2022-04-12,violent,robbery,robbery,violent|robbery,20:00:00
5034,2022,2022-03-16,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5035,2022,2022-03-01,property,theft f/auto,theft f/auto,property|theft f/auto,16:00:00
5036,2022,2022-03-17,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,10:45:00
5037,2022,2022-03-17,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,16:45:00
5038,2022,2022-03-22,property,theft f/auto,theft f/auto,property|theft f/auto,18:00:00
5039,2022,2022-03-22,property,theft/other,theft/other,property|theft/other,19:00:00
5040,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,20:50:00
5041,2022,2022-04-12,property,theft f/auto,theft f/auto,property|theft f/auto,15:33:00
5042,2022,2022-04-12,violent,robbery,robbery,violent|robbery,22:25:00
5043,2022,2022-04-12,violent,robbery,robbery,violent|robbery,23:18:00
5044,2022,2022-04-13,violent,robbery,robbery,violent|robbery,00:38:00
5048,2022,2022-04-11,property,theft/other,theft/other,property|theft/other,11:36:00
5049,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:30:00
5050,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:10:00
5051,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,22:12:00
5052,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,17:00:00
5093,2022,2022-03-22,property,theft f/auto,theft f/auto,property|theft f/auto,17:43:00
5094,2022,2022-03-23,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,18:28:00
5095,2022,2022-03-29,property,theft/other,theft/other,property|theft/other,12:00:00
5096,2022,2022-03-28,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5097,2022,2022-04-20,property,theft/other,theft/other,property|theft/other,02:57:00
5098,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,16:30:00
5099,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,12:00:00
5103,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5104,2022,2022-04-18,property,theft f/auto,theft f/auto,property|theft f/auto,19:00:00
5105,2022,2022-04-27,property,theft/other,theft/other,property|theft/other,11:45:00
5134,2022,2022-04-02,property,theft f/auto,theft f/auto,property|theft f/auto,00:40:00
5135,2022,2022-04-05,property,theft f/auto,theft f/auto,property|theft f/auto,08:00:00
5136,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,17:25:00
5137,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,18:50:00
5138,2022,2022-04-04,property,theft f/auto,theft f/auto,property|theft f/auto,22:00:00
5139,2022,2022-04-05,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,18:44:00
5140,2022,2022-04-27,property,theft/other,theft/other,property|theft/other,10:30:00
5143,2022,2022-03-06,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,18:33:00
5148,2022,2022-02-26,property,theft f/auto,theft f/auto,property|theft f/auto,20:00:00
5149,2022,2022-02-24,property,theft/other,theft/other,property|theft/other,15:06:00
5150,2022,2022-02-27,property,theft f/auto,theft f/auto,property|theft f/auto,12:40:00
5151,2022,2022-02-28,property,theft f/auto,theft f/auto,property|theft f/auto,10:25:00
5152,2022,2022-02-26,property,theft f/auto,theft f/auto,property|theft f/auto,16:00:00
5153,2022,2022-03-06,property,theft/other,theft/other,property|theft/other,18:35:00
5154,2022,2022-03-06,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:17:00
5174,2022,2022-04-12,violent,homicide,homicide,violent|homicide,12:20:00
5175,2022,2022-04-12,violent,robbery,robbery,violent|robbery,13:43:00
5176,2022,2022-04-19,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,00:00:00
5181,2022,2022-04-11,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:00:00
5182,2022,2022-04-11,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:30:00
5183,2022,2022-04-08,property,theft f/auto,theft f/auto,property|theft f/auto,00:00:00
5184,2022,2022-04-08,property,theft/other,theft/other,property|theft/other,19:00:00
5185,2022,2022-04-10,property,theft/other,theft/other,property|theft/other,08:00:00
5191,2022,2022-04-13,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,22:09:00
5196,2022,2022-04-14,property,theft/other,theft/other,property|theft/other,00:20:00
5197,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,17:30:00
5198,2022,2022-04-20,property,theft/other,theft/other,property|theft/other,17:43:00
5199,2022,2022-04-18,property,theft f/auto,theft f/auto,property|theft f/auto,09:00:00
5214,2022,2022-04-26,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,09:30:00
5220,2022,2022-04-17,property,theft f/auto,theft f/auto,property|theft f/auto,21:00:00
5221,2022,2022-03-05,property,theft/other,theft/other,property|theft/other,14:00:00
5222,2022,2022-04-14,property,theft/other,theft/other,property|theft/other,09:00:00
5223,2022,2022-04-16,property,theft/other,theft/other,property|theft/other,02:00:00
5224,2022,2022-04-11,property,theft f/auto,theft f/auto,property|theft f/auto,19:00:00
5225,2022,2022-04-19,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,18:10:00
5226,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,18:30:00
5227,2022,2022-04-15,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5228,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,19:10:00
5233,2022,2022-03-16,property,theft f/auto,theft f/auto,property|theft f/auto,12:00:00
5234,2022,2022-03-18,property,theft/other,theft/other,property|theft/other,10:00:00
5235,2022,2022-03-05,property,theft/other,theft/other,property|theft/other,09:30:00
5236,2022,2022-03-18,property,theft f/auto,theft f/auto,property|theft f/auto,09:00:00
5237,2022,2022-03-18,property,theft f/auto,theft f/auto,property|theft f/auto,13:05:00
5264,2022,2022-04-20,property,theft/other,theft/other,property|theft/other,00:00:00
5267,2022,2022-02-08,property,theft/other,theft/other,property|theft/other,20:00:00
5269,2022,2022-02-08,property,theft f/auto,theft f/auto,property|theft f/auto,18:45:00
5270,2022,2022-02-09,property,theft f/auto,theft f/auto,property|theft f/auto,09:56:00
5272,2022,2022-02-08,property,theft f/auto,theft f/auto,property|theft f/auto,19:00:00
5273,2022,2022-02-09,property,theft f/auto,theft f/auto,property|theft f/auto,11:10:00
5274,2022,2022-02-09,property,burglary,burglary,property|burglary,10:00:00
5275,2022,2022-04-02,violent,sex abuse,sex abuse,violent|sex abuse,00:00:00
5276,2022,2022-04-07,violent,robbery,robbery,violent|robbery,03:30:00
5279,2022,2022-03-31,property,theft/other,theft/other,property|theft/other,07:57:00
5280,2022,2022-03-30,property,theft f/auto,theft f/auto,property|theft f/auto,21:00:00
5281,2022,2022-03-30,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5282,2022,2022-03-30,property,theft f/auto,theft f/auto,property|theft f/auto,10:00:00
5320,2022,2022-02-13,property,theft f/auto,theft f/auto,property|theft f/auto,16:30:00
5321,2022,2022-02-14,property,theft f/auto,theft f/auto,property|theft f/auto,11:20:00
5322,2022,2022-02-15,property,theft/other,theft/other,property|theft/other,01:07:00
5323,2022,2022-02-15,property,theft/other,theft/other,property|theft/other,07:58:00
5324,2022,2022-02-09,property,theft/other,theft/other,property|theft/other,21:00:00
5325,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,09:30:00
5326,2022,2022-02-09,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,12:35:00
5327,2022,2022-02-09,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,15:12:00
5330,2022,2022-02-09,property,theft/other,theft/other,property|theft/other,09:00:00
5331,2022,2022-02-09,property,theft f/auto,theft f/auto,property|theft f/auto,07:30:00
5356,2022,2022-02-27,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,14:39:00
5357,2022,2022-02-27,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,17:00:00
5358,2022,2022-02-09,violent,homicide,homicide,violent|homicide,15:05:00
5373,2022,2022-04-25,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,17:51:00
5377,2022,2022-02-25,property,theft/other,theft/other,property|theft/other,19:20:00
5378,2022,2022-02-27,property,theft/other,theft/other,property|theft/other,16:34:00
5379,2022,2022-02-27,property,theft/other,theft/other,property|theft/other,17:02:00
5385,2022,2022-02-14,property,burglary,burglary,property|burglary,06:04:00
5386,2022,2022-02-14,property,burglary,burglary,property|burglary,19:00:00
5387,2022,2022-02-15,property,theft f/auto,theft f/auto,property|theft f/auto,11:15:00
5388,2022,2022-02-14,property,theft f/auto,theft f/auto,property|theft f/auto,00:00:00
5389,2022,2022-02-15,property,theft f/auto,theft f/auto,property|theft f/auto,15:15:00
5390,2022,2022-02-11,property,theft f/auto,theft f/auto,property|theft f/auto,00:00:00
5404,2022,2022-04-26,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,00:12:00
5405,2022,2022-02-09,violent,robbery,robbery,violent|robbery,01:10:00
5411,2022,2022-04-25,property,theft/other,theft/other,property|theft/other,20:30:00
5412,2022,2022-04-25,property,theft/other,theft/other,property|theft/other,11:30:00
5414,2022,2022-02-08,property,theft/other,theft/other,property|theft/other,19:42:00
5415,2022,2022-02-08,property,theft/other,theft/other,property|theft/other,21:17:00
5416,2022,2022-02-08,property,theft/other,theft/other,property|theft/other,21:54:00
5417,2022,2022-02-08,property,theft f/auto,theft f/auto,property|theft f/auto,18:15:00
5418,2022,2022-02-09,property,burglary,burglary,property|burglary,01:26:00
5419,2022,2022-02-09,property,theft/other,theft/other,property|theft/other,06:20:00
5420,2022,2022-02-12,property,theft f/auto,theft f/auto,property|theft f/auto,21:00:00
5421,2022,2022-02-26,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:30:00
5422,2022,2022-02-27,property,theft/other,theft/other,property|theft/other,18:21:00
5423,2022,2022-02-27,property,theft/other,theft/other,property|theft/other,19:05:00
5424,2022,2022-03-05,property,theft f/auto,theft f/auto,property|theft f/auto,16:00:00
5425,2022,2022-03-06,property,theft/other,theft/other,property|theft/other,12:36:00
5426,2022,2022-03-05,property,theft f/auto,theft f/auto,property|theft f/auto,15:15:00
5427,2022,2022-02-21,violent,homicide,homicide,violent|homicide,20:36:00
5430,2022,2022-02-21,property,burglary,burglary,property|burglary,19:59:00
5431,2022,2022-02-21,property,theft/other,theft/other,property|theft/other,19:00:00
5432,2022,2022-02-21,property,theft f/auto,theft f/auto,property|theft f/auto,19:15:00
5433,2022,2022-02-21,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,22:50:00
5434,2022,2022-02-27,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,19:29:00
5435,2022,2022-02-27,property,theft/other,theft/other,property|theft/other,21:57:00
5458,2022,2022-02-14,violent,robbery,robbery,violent|robbery,18:32:00
5464,2022,2022-02-13,property,theft/other,theft/other,property|theft/other,12:00:00
5465,2022,2022-02-12,property,theft/other,theft/other,property|theft/other,10:00:00
5466,2022,2022-02-14,property,theft f/auto,theft f/auto,property|theft f/auto,08:00:00
5467,2022,2022-02-20,property,theft f/auto,theft f/auto,property|theft f/auto,22:30:00
5468,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,10:50:00
5469,2022,2022-02-21,property,theft/other,theft/other,property|theft/other,04:34:00
5470,2022,2022-03-06,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,15:30:00
5471,2022,2022-03-11,property,theft/other,theft/other,property|theft/other,05:08:00
5472,2022,2022-03-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,01:36:00
5473,2022,2022-03-12,property,theft/other,theft/other,property|theft/other,13:20:00
5474,2022,2022-04-02,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5475,2022,2022-04-05,property,theft f/auto,theft f/auto,property|theft f/auto,18:00:00
5476,2022,2022-04-13,violent,robbery,robbery,violent|robbery,16:12:00
5477,2022,2022-04-13,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,16:38:00
5482,2022,2022-04-03,property,theft f/auto,theft f/auto,property|theft f/auto,19:00:00
5483,2022,2022-04-13,property,theft f/auto,theft f/auto,property|theft f/auto,16:40:00
5484,2022,2022-04-13,property,theft/other,theft/other,property|theft/other,19:34:00
5515,2022,2022-02-27,violent,robbery,robbery,violent|robbery,05:00:00
5516,2022,2022-03-24,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,13:59:00
5521,2022,2022-02-08,property,theft f/auto,theft f/auto,property|theft f/auto,10:58:00
5522,2022,2022-02-27,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,00:15:00
5523,2022,2022-02-27,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,03:33:00
5524,2022,2022-02-27,property,theft f/auto,theft f/auto,property|theft f/auto,07:53:00
5525,2022,2022-03-17,property,theft f/auto,theft f/auto,property|theft f/auto,22:00:00
5526,2022,2022-03-23,property,theft f/auto,theft f/auto,property|theft f/auto,18:30:00
5527,2022,2022-03-07,property,burglary,burglary,property|burglary,01:27:00
5528,2022,2022-03-06,property,theft/other,theft/other,property|theft/other,06:05:00
5530,2022,2022-03-11,property,theft/other,theft/other,property|theft/other,16:30:00
5531,2022,2022-03-12,property,theft/other,theft/other,property|theft/other,16:00:00
5532,2022,2022-03-12,property,theft/other,theft/other,property|theft/other,15:45:00
5533,2022,2022-03-09,property,theft/other,theft/other,property|theft/other,15:00:00
5534,2022,2022-03-12,property,theft/other,theft/other,property|theft/other,17:11:00
5535,2022,2022-03-12,property,theft/other,theft/other,property|theft/other,17:16:00
5553,2022,2022-02-08,violent,robbery,robbery,violent|robbery,17:01:00
5554,2022,2022-02-08,violent,robbery,robbery,violent|robbery,16:25:00
5555,2022,2022-02-27,violent,robbery,robbery,violent|robbery,11:20:00
5556,2022,2022-03-06,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,02:40:00
5557,2022,2022-03-24,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,16:25:00
5558,2022,2022-03-19,violent,sex abuse,sex abuse,violent|sex abuse,01:00:00
5559,2022,2022-03-30,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,20:07:00
5560,2022,2022-03-24,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,20:11:00
5561,2022,2022-03-25,violent,homicide,homicide,violent|homicide,01:30:00
5566,2022,2022-02-08,property,burglary,burglary,property|burglary,11:00:00
5567,2022,2022-02-08,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,16:49:00
5568,2022,2022-02-08,property,theft f/auto,theft f/auto,property|theft f/auto,18:12:00
5569,2022,2022-02-13,property,theft f/auto,theft f/auto,property|theft f/auto,02:00:00
5570,2022,2022-02-26,property,theft f/auto,theft f/auto,property|theft f/auto,08:00:00
5571,2022,2022-02-27,property,theft f/auto,theft f/auto,property|theft f/auto,11:31:00
5572,2022,2022-03-03,property,theft f/auto,theft f/auto,property|theft f/auto,16:40:00
5573,2022,2022-03-23,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:00:00
5574,2022,2022-03-16,property,theft/other,theft/other,property|theft/other,11:18:00
5575,2022,2022-03-24,property,burglary,burglary,property|burglary,04:58:00
5576,2022,2022-03-23,property,theft/other,theft/other,property|theft/other,11:40:00
5577,2022,2022-03-30,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,17:57:00
5578,2022,2022-03-26,property,theft f/auto,theft f/auto,property|theft f/auto,01:10:00
5579,2022,2022-03-24,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,19:35:00
5580,2022,2022-03-24,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:18:00
5581,2022,2022-03-24,property,theft/other,theft/other,property|theft/other,23:25:00
5582,2022,2022-03-31,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,04:00:00
5583,2022,2022-03-24,property,theft f/auto,theft f/auto,property|theft f/auto,18:00:00
5605,2022,2022-02-20,violent,robbery,robbery,violent|robbery,15:45:00
5606,2022,2022-03-11,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,15:42:00
5607,2022,2022-03-12,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,00:17:00
5608,2022,2022-03-31,violent,robbery,robbery,violent|robbery,01:11:00
5612,2022,2022-02-14,property,burglary,burglary,property|burglary,04:40:00
5613,2022,2022-02-11,property,theft/other,theft/other,property|theft/other,21:35:00
5614,2022,2022-02-13,property,theft f/auto,theft f/auto,property|theft f/auto,12:00:00
5615,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,16:43:00
5616,2022,2022-03-11,property,theft/other,theft/other,property|theft/other,15:15:00
5617,2022,2022-03-10,property,theft f/auto,theft f/auto,property|theft f/auto,17:30:00
5618,2022,2022-03-10,property,theft/other,theft/other,property|theft/other,23:30:00
5619,2022,2022-03-07,property,theft f/auto,theft f/auto,property|theft f/auto,20:30:00
5620,2022,2022-03-11,property,theft/other,theft/other,property|theft/other,19:57:00
5621,2022,2022-03-30,property,theft f/auto,theft f/auto,property|theft f/auto,21:58:00
5622,2022,2022-03-31,property,theft f/auto,theft f/auto,property|theft f/auto,03:30:00
5623,2022,2022-04-06,property,theft/other,theft/other,property|theft/other,00:00:00
5655,2022,2022-04-13,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,08:20:00
5657,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,19:26:00
5658,2022,2022-02-20,property,theft f/auto,theft f/auto,property|theft f/auto,15:00:00
5659,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,20:30:00
5660,2022,2022-02-20,property,theft/other,theft/other,property|theft/other,22:31:00
5661,2022,2022-02-26,property,theft/other,theft/other,property|theft/other,16:19:00
5662,2022,2022-02-26,property,theft/other,theft/other,property|theft/other,16:56:00
5663,2022,2022-02-25,property,theft/other,theft/other,property|theft/other,16:30:00
5664,2022,2022-03-17,property,theft/other,theft/other,property|theft/other,17:36:00
5665,2022,2022-03-17,property,theft/other,theft/other,property|theft/other,11:55:00
5666,2022,2022-03-17,property,theft f/auto,theft f/auto,property|theft f/auto,10:00:00
5667,2022,2022-03-17,property,theft/other,theft/other,property|theft/other,18:23:00
5668,2022,2022-03-17,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,09:50:00
5669,2022,2022-03-18,property,theft/other,theft/other,property|theft/other,01:32:00
5670,2022,2022-03-23,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,19:28:00
5671,2022,2022-03-21,property,theft/other,theft/other,property|theft/other,06:00:00
5672,2022,2022-04-06,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:00:00
5673,2022,2022-04-13,property,theft/other,theft/other,property|theft/other,07:50:00
5674,2022,2022-04-12,property,theft/other,theft/other,property|theft/other,17:00:00
5675,2022,2022-04-11,property,theft/other,theft/other,property|theft/other,18:45:00
5708,2022,2022-03-30,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,12:32:00
5710,2022,2022-03-04,property,theft f/auto,theft f/auto,property|theft f/auto,14:00:00
5711,2022,2022-03-05,property,theft/other,theft/other,property|theft/other,08:46:00
5712,2022,2022-03-04,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,12:30:00
5713,2022,2022-03-05,property,theft f/auto,theft f/auto,property|theft f/auto,00:10:00
5714,2022,2022-03-24,property,burglary,burglary,property|burglary,10:21:00
5715,2022,2022-03-24,property,theft/other,theft/other,property|theft/other,09:00:00
5716,2022,2022-03-24,property,theft f/auto,theft f/auto,property|theft f/auto,12:01:00
5717,2022,2022-03-29,property,theft f/auto,theft f/auto,property|theft f/auto,17:30:00
5718,2022,2022-03-30,property,theft/other,theft/other,property|theft/other,09:20:00
5719,2022,2022-04-13,property,theft f/auto,theft f/auto,property|theft f/auto,13:00:00
5720,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,09:15:00
5721,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,22:30:00
5722,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,18:15:00
5723,2022,2022-04-20,property,theft f/auto,theft f/auto,property|theft f/auto,10:16:00
5724,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,12:30:00
5754,2022,2022-03-11,violent,robbery,robbery,violent|robbery,13:30:00
5755,2022,2022-04-27,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,17:16:00
5756,2022,2022-04-27,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,19:07:00
5758,2022,2022-03-10,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,23:00:00
5759,2022,2022-03-09,property,theft/other,theft/other,property|theft/other,20:00:00
5760,2022,2022-03-10,property,theft/other,theft/other,property|theft/other,12:00:00
5761,2022,2022-03-05,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,12:00:00
5762,2022,2022-03-16,property,burglary,burglary,property|burglary,22:07:00
5763,2022,2022-03-16,property,theft f/auto,theft f/auto,property|theft f/auto,05:00:00
5764,2022,2022-03-26,property,theft/other,theft/other,property|theft/other,17:28:00
5765,2022,2022-03-29,property,theft/other,theft/other,property|theft/other,19:30:00
5766,2022,2022-04-04,property,theft f/auto,theft f/auto,property|theft f/auto,14:30:00
5767,2022,2022-04-06,property,theft f/auto,theft f/auto,property|theft f/auto,10:15:00
5768,2022,2022-04-05,property,theft f/auto,theft f/auto,property|theft f/auto,22:00:00
5769,2022,2022-04-05,property,theft f/auto,theft f/auto,property|theft f/auto,20:00:00
5770,2022,2022-04-02,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5771,2022,2022-04-25,property,theft/other,theft/other,property|theft/other,08:40:00
5772,2022,2022-04-27,property,theft f/auto,theft f/auto,property|theft f/auto,18:05:00
5773,2022,2022-04-25,property,theft f/auto,theft f/auto,property|theft f/auto,16:30:00
5774,2022,2022-04-25,property,theft/other,theft/other,property|theft/other,12:00:00
5805,2022,2022-06-09,violent,robbery,robbery,violent|robbery,10:00:00
5806,2022,2022-07-01,violent,robbery,robbery,violent|robbery,14:49:00
5807,2022,2022-04-07,violent,robbery,robbery,violent|robbery,11:26:00
5808,2022,2022-05-21,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5809,2022,2022-05-22,property,theft f/auto,theft f/auto,property|theft f/auto,14:30:00
5810,2022,2022-05-22,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,19:00:00
5811,2022,2022-05-22,property,theft/other,theft/other,property|theft/other,16:56:00
5812,2022,2022-05-27,property,theft f/auto,theft f/auto,property|theft f/auto,12:00:00
5813,2022,2022-05-28,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,08:10:00
5814,2022,2022-05-26,property,theft f/auto,theft f/auto,property|theft f/auto,18:30:00
5815,2022,2022-06-15,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,06:58:00
5816,2022,2022-06-13,property,theft/other,theft/other,property|theft/other,12:00:00
5817,2022,2022-06-14,property,theft f/auto,theft f/auto,property|theft f/auto,10:30:00
5818,2022,2022-06-15,property,theft/other,theft/other,property|theft/other,07:30:00
5819,2022,2022-06-15,property,theft/other,theft/other,property|theft/other,10:48:00
5820,2022,2022-06-14,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5821,2022,2022-06-14,property,theft/other,theft/other,property|theft/other,12:00:00
5822,2022,2022-07-01,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,14:55:00
5823,2022,2022-07-07,property,theft/other,theft/other,property|theft/other,11:17:00
5824,2022,2022-06-27,property,theft f/auto,theft f/auto,property|theft f/auto,10:00:00
5825,2022,2022-07-07,property,theft/other,theft/other,property|theft/other,10:20:00
5826,2022,2022-07-07,property,theft f/auto,theft f/auto,property|theft f/auto,13:56:00
5827,2022,2022-07-06,property,theft f/auto,theft f/auto,property|theft f/auto,00:00:00
5828,2022,2022-07-05,property,theft/other,theft/other,property|theft/other,14:27:00
5829,2022,2022-07-02,property,theft/other,theft/other,property|theft/other,15:15:00
5830,2022,2022-03-31,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,14:31:00
5831,2022,2022-03-31,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:16:00
5832,2022,2022-04-07,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,11:15:00
5833,2022,2022-04-07,property,theft f/auto,theft f/auto,property|theft f/auto,11:05:00
5834,2022,2022-04-07,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,11:54:00
5835,2022,2022-04-04,property,theft/other,theft/other,property|theft/other,12:00:00
5838,2022,2022-02-10,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,14:26:00
5839,2022,2022-02-10,violent,robbery,robbery,violent|robbery,16:20:00
5840,2022,2022-03-01,violent,robbery,robbery,violent|robbery,20:55:00
5841,2022,2022-03-02,violent,robbery,robbery,violent|robbery,09:02:00
5842,2022,2022-04-20,property,theft f/auto,theft f/auto,property|theft f/auto,19:50:00
5848,2022,2022-02-09,property,theft/other,theft/other,property|theft/other,13:00:00
5849,2022,2022-02-10,property,theft/other,theft/other,property|theft/other,17:08:00
5850,2022,2022-02-10,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5851,2022,2022-02-10,property,theft/other,theft/other,property|theft/other,17:43:00
5852,2022,2022-03-01,property,theft f/auto,theft f/auto,property|theft f/auto,17:30:00
5853,2022,2022-03-21,property,burglary,burglary,property|burglary,08:50:00
5854,2022,2022-03-20,property,theft f/auto,theft f/auto,property|theft f/auto,21:00:00
5855,2022,2022-03-21,property,theft/other,theft/other,property|theft/other,01:19:00
5856,2022,2022-03-27,property,theft/other,theft/other,property|theft/other,04:00:00
5857,2022,2022-03-27,property,theft f/auto,theft f/auto,property|theft f/auto,10:58:00
5858,2022,2022-04-09,property,theft f/auto,theft f/auto,property|theft f/auto,12:30:00
5859,2022,2022-04-16,violent,robbery,robbery,violent|robbery,22:26:00
5863,2022,2022-03-16,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,22:58:00
5864,2022,2022-04-16,property,theft f/auto,theft f/auto,property|theft f/auto,15:30:00
5865,2022,2022-04-17,property,theft/other,theft/other,property|theft/other,00:20:00
5866,2022,2022-04-17,property,burglary,burglary,property|burglary,04:07:00
5870,2022,2022-02-06,property,theft f/auto,theft f/auto,property|theft f/auto,13:00:00
5871,2022,2022-02-18,property,theft/other,theft/other,property|theft/other,16:39:00
5872,2022,2022-02-19,property,theft/other,theft/other,property|theft/other,08:00:00
5873,2022,2022-02-25,property,theft/other,theft/other,property|theft/other,11:50:00
5874,2022,2022-02-25,property,theft/other,theft/other,property|theft/other,16:00:00
5875,2022,2022-03-10,property,theft/other,theft/other,property|theft/other,18:31:00
5876,2022,2022-03-13,property,theft f/auto,theft f/auto,property|theft f/auto,15:30:00
5877,2022,2022-03-16,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:44:00
5878,2022,2022-03-16,property,theft/other,theft/other,property|theft/other,22:02:00
5879,2022,2022-03-22,property,theft/other,theft/other,property|theft/other,12:45:00
